Resumo										
										
										
Número	Seção				Custo total	Porcentagem do total	Material	Mão de obra		Economia possível
12	Serviços complementares									
										
12.1		Limpeza geral do edifício	m²	70.00	R$ 0.00	R$ 9.00	R$ 9.00	R$ 0.00	R$ 630.00	R$ 630.00
										
	Total							R$ 0.00	R$ 630.00	R$ 630.00
										
										
										
15	Acréscimos possíveis									
										
15.1		Aquecedor solar 200L + 2 placas x 1.42m²	un	1.00	R$ 2,053.00	R$ 0.00	R$ 2,053.00	R$ 2,053.00	R$ 0.00	R$ 2,053.00
15.2		Cisterna para acumulação de água de chuva	m³	6.00			R$ 0.00	R$ 0.00	R$ 0.00	R$ 0.00
15.3		Bomba manual para água de chuva	un	1.00			R$ 0.00	R$ 0.00	R$ 0.00	R$ 0.00
15.4		Caixa d’água de chuva 300L	un	1.00			R$ 0.00	R$ 0.00	R$ 0.00	R$ 0.00
15.5		Tubulação de PVC de 25mm para sistema de água de reuso	m	15.00	R$ 4.36	R$ 13.85	R$ 18.21	R$ 65.40	R$ 207.75	R$ 273.15
										
	Total							R$ 2,118.40	R$ 207.75	R$ 2,326.15
